"","x"
"corr[1]",0.26247997018532
"corr[2]",0.401543194954465
"corr[3]",0.111519071852813
"cov[1,1,1]",0.00375015581687591
"cov[1,1,2]",0.00550056949389869
"cov[1,1,3]",0.00338341120121185
"cov[1,2,1]",0.00265575705319999
"cov[1,2,2]",0.0020845905601677
"cov[1,2,3]",0.00161056442498297
"cov[2,1,1]",0.00265575705319999
"cov[2,1,2]",0.0020845905601677
"cov[2,1,3]",0.00161056442498297
"cov[2,2,1]",0.00905925969755156
"cov[2,2,2]",0.00420485150200858
"cov[2,2,3]",0.006844222001779
"muOfGaussian[1,1]",40.6973613336476
"muOfGaussian[1,2]",-73.8983093649657
"muOfGaussian[2,1]",40.7251116840062
"muOfGaussian[2,2]",-73.9048677805632
"muOfGaussian[3,1]",40.7045604235183
"muOfGaussian[3,2]",-73.8794159625207
"pk[1]",0.334937293884151
"pk[2]",0.367964389269869
"pk[3]",0.297098316845981
