"","x"
"corr[1]",0.255041601180481
"corr[2]",0.0583911686462348
"corr[3]",0.114931601797629
"corr[4]",-0.251075476183571
"corr[5]",0.178001411311969
"corr[6]",-0.0419689358540894
"corr[7]",-0.0428766408130523
"corr[8]",-0.152696343365011
"corr[9]",0.110168074966447
"cov[1,1,1]",0.00138941064635961
"cov[1,1,2]",0.00118449113694669
"cov[1,1,3]",0.00126210659707258
"cov[1,1,4]",0.000570819077112531
"cov[1,1,5]",0.00103284011895836
"cov[1,1,6]",0.00122831442890494
"cov[1,1,7]",0.00173713002189755
"cov[1,1,8]",0.00109462295404901
"cov[1,1,9]",0.000800032325134024
"cov[1,2,1]",0.000541168149980731
"cov[1,2,2]",1.76770012784899e-05
"cov[1,2,3]",8.19215483442534e-05
"cov[1,2,4]",-0.000211518730757101
"cov[1,2,5]",0.000383547157948376
"cov[1,2,6]",-5.73553700387369e-05
"cov[1,2,7]",-9.8623340356884e-05
"cov[1,2,8]",-0.000179590345214295
"cov[1,2,9]",0.000170046317052225
"cov[2,1,1]",0.000541168149980731
"cov[2,1,2]",1.76770012784899e-05
"cov[2,1,3]",8.19215483442534e-05
"cov[2,1,4]",-0.000211518730757101
"cov[2,1,5]",0.000383547157948376
"cov[2,1,6]",-5.73553700387369e-05
"cov[2,1,7]",-9.8623340356884e-05
"cov[2,1,8]",-0.000179590345214295
"cov[2,1,9]",0.000170046317052225
"cov[2,2,1]",0.00175416409198868
"cov[2,2,2]",0.00173691494030429
"cov[2,2,3]",0.00185248498511531
"cov[2,2,4]",0.00268701820576815
"cov[2,2,5]",0.00166886486423357
"cov[2,2,6]",0.0017632052420745
"cov[2,2,7]",0.00239480970614791
"cov[2,2,8]",0.00157207208083543
"cov[2,2,9]",0.00174986208976835
"muOfGaussian[1,1]",40.7142519659253
"muOfGaussian[1,2]",-73.9324162942789
"muOfGaussian[2,1]",40.6782045293359
"muOfGaussian[2,2]",-73.9497148647589
"muOfGaussian[3,1]",40.6678185426685
"muOfGaussian[3,2]",-73.856472339179
"muOfGaussian[4,1]",40.6839740165605
"muOfGaussian[4,2]",-73.8895429852779
"muOfGaussian[5,1]",40.7080936184278
"muOfGaussian[5,2]",-73.9673605285916
"muOfGaussian[6,1]",40.7514824592502
"muOfGaussian[6,2]",-73.9129500634274
"muOfGaussian[7,1]",40.6782760591899
"muOfGaussian[7,2]",-73.9512556142216
"muOfGaussian[8,1]",40.7037934112055
"muOfGaussian[8,2]",-73.8512767008882
"muOfGaussian[9,1]",40.6662169893919
"muOfGaussian[9,2]",-73.9779663050554
"pk[1]",0.11955665267594
"pk[2]",0.0912825404504185
"pk[3]",0.0873227489437734
"pk[4]",0.162081563935237
"pk[5]",0.106489988541986
"pk[6]",0.107912820074916
"pk[7]",0.114220831626526
"pk[8]",0.108355109234704
"pk[9]",0.1027777445165
