"","x"
"corr[1]",0.534200051071376
"corr[2]",0.719950424258125
"corr[3]",0.336527358978951
"corr[4]",0.664387715720072
"corr[5]",0.418343314711683
"corr[6]",0.280086582222759
"cov[1,1,1]",0.000427679004433378
"cov[1,1,2]",0.000427796028160576
"cov[1,1,3]",0.000641438883420269
"cov[1,1,4]",0.000429009168191577
"cov[1,1,5]",0.000122076753742354
"cov[1,1,6]",9.70193726746915e-05
"cov[1,2,1]",0.000112237109222834
"cov[1,2,2]",0.000262655452146547
"cov[1,2,3]",0.000216864450540964
"cov[1,2,4]",0.000255204434309836
"cov[1,2,5]",4.61831043212288e-05
"cov[1,2,6]",1.9388551585702e-05
"cov[2,1,1]",0.000112237109222834
"cov[2,1,2]",0.000262655452146547
"cov[2,1,3]",0.000216864450540964
"cov[2,1,4]",0.000255204434309836
"cov[2,1,5]",4.61831043212288e-05
"cov[2,1,6]",1.9388551585702e-05
"cov[2,2,1]",0.000182474983304414
"cov[2,2,2]",0.000191541152644835
"cov[2,2,3]",0.000243650848264541
"cov[2,2,4]",0.000180139035194738
"cov[2,2,5]",5.11807595650911e-05
"cov[2,2,6]",3.39827449335375e-05
"muOfGaussian[1,1]",40.7847312513545
"muOfGaussian[1,2]",-73.9650341881067
"muOfGaussian[2,1]",40.7905653962638
"muOfGaussian[2,2]",-73.9595867101748
"muOfGaussian[3,1]",40.7787780205961
"muOfGaussian[3,2]",-73.9639177098225
"muOfGaussian[4,1]",40.7611199780475
"muOfGaussian[4,2]",-73.9811140798321
"muOfGaussian[5,1]",40.7614354580811
"muOfGaussian[5,2]",-73.9727098211641
"muOfGaussian[6,1]",40.7634229202876
"muOfGaussian[6,2]",-73.9721436190847
"pk[1]",0.118770333809603
"pk[2]",0.208806065549562
"pk[3]",0.154822392522277
"pk[4]",0.210856541272553
"pk[5]",0.163802922465455
"pk[6]",0.14294174438055
