"","x"
"corr[1]",0.11462899789097
"corr[2]",-0.247357394546523
"corr[3]",-0.177699445652941
"corr[4]",-0.0306518138141284
"corr[5]",-0.238106467155838
"corr[6]",-0.182732034452162
"corr[7]",0.167289109051117
"corr[8]",0.0616477864932091
"cov[1,1,1]",0.00109281055235769
"cov[1,1,2]",0.000818832994140424
"cov[1,1,3]",0.00139927825871205
"cov[1,1,4]",0.0013033877414254
"cov[1,1,5]",0.00109559355393846
"cov[1,1,6]",0.0013850696342904
"cov[1,1,7]",0.000696326390379748
"cov[1,1,8]",0.00130155688169233
"cov[1,2,1]",0.000135675040748667
"cov[1,2,2]",-0.000206363376628462
"cov[1,2,3]",-6.85819479335539e-05
"cov[1,2,4]",-0.000145634989279714
"cov[1,2,5]",-0.000266270811335595
"cov[1,2,6]",-0.000381137207139736
"cov[1,2,7]",0.00033736660361621
"cov[1,2,8]",-3.61273137733435e-05
"cov[2,1,1]",0.000135675040748667
"cov[2,1,2]",-0.000206363376628462
"cov[2,1,3]",-6.85819479335539e-05
"cov[2,1,4]",-0.000145634989279714
"cov[2,1,5]",-0.000266270811335595
"cov[2,1,6]",-0.000381137207139736
"cov[2,1,7]",0.00033736660361621
"cov[2,1,8]",-3.61273137733435e-05
"cov[2,2,1]",0.00153119450159435
"cov[2,2,2]",0.00143446639798096
"cov[2,2,3]",0.00126636085240391
"cov[2,2,4]",0.00131494151609141
"cov[2,2,5]",0.00148141057726083
"cov[2,2,6]",0.00161175108785936
"cov[2,2,7]",0.0020623155675299
"cov[2,2,8]",0.00172695970537496
"muOfGaussian[1,1]",40.7314718412487
"muOfGaussian[1,2]",-73.8932729769696
"muOfGaussian[2,1]",40.6994737025855
"muOfGaussian[2,2]",-73.8688129968887
"muOfGaussian[3,1]",40.7324389554368
"muOfGaussian[3,2]",-73.8921515770465
"muOfGaussian[4,1]",40.7328748357545
"muOfGaussian[4,2]",-73.9060927586233
"muOfGaussian[5,1]",40.6938164594776
"muOfGaussian[5,2]",-73.9341034654941
"muOfGaussian[6,1]",40.6820897638073
"muOfGaussian[6,2]",-73.9630407228842
"muOfGaussian[7,1]",40.6480432946268
"muOfGaussian[7,2]",-73.9956564225435
"muOfGaussian[8,1]",40.6410489913981
"muOfGaussian[8,2]",-73.96712532048
"pk[1]",0.113553049793962
"pk[2]",0.131283007957625
"pk[3]",0.130757713991303
"pk[4]",0.10788162710905
"pk[5]",0.145626467612922
"pk[6]",0.144777991457182
"pk[7]",0.120118747875022
"pk[8]",0.106001394202935
