"","x"
"corr[1]",0.519273434700094
"corr[2]",0.804099559224654
"corr[3]",0.261191985231096
"corr[4]",0.764330227640559
"corr[5]",0.568599201785521
"cov[1,1,1]",0.00012956384604725
"cov[1,1,2]",0.00073302719785329
"cov[1,1,3]",9.36051152067169e-05
"cov[1,1,4]",0.000505000014880818
"cov[1,1,5]",0.000248906428159499
"cov[1,2,1]",5.55093108045074e-05
"cov[1,2,2]",0.000455403729296087
"cov[1,2,3]",1.83972750500924e-05
"cov[1,2,4]",0.000303930182924749
"cov[1,2,5]",9.56256422802811e-05
"cov[2,1,1]",5.55093108045074e-05
"cov[2,1,2]",0.000455403729296087
"cov[2,1,3]",1.83972750500924e-05
"cov[2,1,4]",0.000303930182924749
"cov[2,1,5]",9.56256422802811e-05
"cov[2,2,1]",5.31356078114059e-05
"cov[2,2,2]",0.000308227887433407
"cov[2,2,3]",3.44459621586278e-05
"cov[2,2,4]",0.00021147323884836
"cov[2,2,5]",7.19458952864568e-05
"muOfGaussian[1,1]",40.7431515491511
"muOfGaussian[1,2]",-73.9908319261429
"muOfGaussian[2,1]",40.7789355196875
"muOfGaussian[2,2]",-73.9714767200324
"muOfGaussian[3,1]",40.7493698426575
"muOfGaussian[3,2]",-73.9759825346728
"muOfGaussian[4,1]",40.7929787749977
"muOfGaussian[4,2]",-73.9606298656156
"muOfGaussian[5,1]",40.7847034674511
"muOfGaussian[5,2]",-73.9577096089247
"pk[1]",0.160542109580716
"pk[2]",0.264268903801101
"pk[3]",0.145766543883274
"pk[4]",0.231188195977031
"pk[5]",0.198234246757878
