"","x"
"corr[10]",0.352709455041284
"corr[1]",0.293377950745691
"corr[2]",0.0652743157571529
"corr[3]",-0.0449611485646993
"corr[4]",-0.0120144429666332
"corr[5]",0.20390870042119
"corr[6]",0.0479041492433468
"corr[7]",-0.0546524126589663
"corr[8]",-0.0546644032620613
"corr[9]",-0.203553021608107
"cov[1,1,10]",0.000819139634485312
"cov[1,1,1]",0.00122843407626705
"cov[1,1,2]",0.000886064482684213
"cov[1,1,3]",0.00072006430904306
"cov[1,1,4]",0.000861389051881308
"cov[1,1,5]",0.000928398035862532
"cov[1,1,6]",0.00117772157002941
"cov[1,1,7]",0.000869993400852683
"cov[1,1,8]",0.0008415913601305
"cov[1,1,9]",0.00123440057091807
"cov[1,2,10]",0.000429095816969638
"cov[1,2,1]",0.000292272524211541
"cov[1,2,2]",0.000144891299844329
"cov[1,2,3]",0.000150118121373685
"cov[1,2,4]",9.6251780250754e-05
"cov[1,2,5]",0.000204108691798248
"cov[1,2,6]",0.000146313473694093
"cov[1,2,7]",-6.73714617987081e-05
"cov[1,2,8]",9.10397324587871e-05
"cov[1,2,9]",-0.000302479383901666
"cov[2,1,10]",0.000429095816969638
"cov[2,1,1]",0.000292272524211541
"cov[2,1,2]",0.000144891299844329
"cov[2,1,3]",0.000150118121373685
"cov[2,1,4]",9.6251780250754e-05
"cov[2,1,5]",0.000204108691798248
"cov[2,1,6]",0.000146313473694093
"cov[2,1,7]",-6.73714617987081e-05
"cov[2,1,8]",9.10397324587871e-05
"cov[2,1,9]",-0.000302479383901666
"cov[2,2,10]",0.00224977425020094
"cov[2,2,1]",0.00213987608459008
"cov[2,2,2]",0.00151583018851609
"cov[2,2,3]",0.00159343706741575
"cov[2,2,4]",0.00141918512083486
"cov[2,2,5]",0.00120200131207369
"cov[2,2,6]",0.0014528202533117
"cov[2,2,7]",0.00179420418310843
"cov[2,2,8]",0.00171333823038049
"cov[2,2,9]",0.000976853229580278
"muOfGaussian[1,1]",40.6796146850329
"muOfGaussian[1,2]",-73.980449969527
"muOfGaussian[10,1]",40.6270232518306
"muOfGaussian[10,2]",-73.9318342846384
"muOfGaussian[2,1]",40.683224863927
"muOfGaussian[2,2]",-73.9834319268102
"muOfGaussian[3,1]",40.7121111882094
"muOfGaussian[3,2]",-73.8752500352569
"muOfGaussian[4,1]",40.7241056098669
"muOfGaussian[4,2]",-73.8943748749314
"muOfGaussian[5,1]",40.6668069022255
"muOfGaussian[5,2]",-73.9594519130635
"muOfGaussian[6,1]",40.7177989785532
"muOfGaussian[6,2]",-73.878221094211
"muOfGaussian[7,1]",40.685611220714
"muOfGaussian[7,2]",-73.8877068085944
"muOfGaussian[8,1]",40.6986370027389
"muOfGaussian[8,2]",-73.9041048318335
"muOfGaussian[9,1]",40.738237392094
"muOfGaussian[9,2]",-73.8869572235618
"pk[10]",0.0625439663692798
"pk[1]",0.0986897462226022
"pk[2]",0.1094205262571
"pk[3]",0.0861357394138623
"pk[4]",0.123091781201966
"pk[5]",0.0788219913964148
"pk[6]",0.102517678366345
"pk[7]",0.108674158952433
"pk[8]",0.116590705713792
"pk[9]",0.113513706106204
