"","x"
"corr[10]",0.441999239717385
"corr[1]",0.539363843557662
"corr[2]",0.548458558860884
"corr[3]",0.242662804747661
"corr[4]",0.42941648196637
"corr[5]",0.0945743182051177
"corr[6]",0.138833344931921
"corr[7]",0.218300091936506
"corr[8]",0.287899690640628
"corr[9]",0.038986869234127
"cov[1,1,10]",8.45638084834835e-05
"cov[1,1,1]",0.00074705834568907
"cov[1,1,2]",0.000654027470904484
"cov[1,1,3]",0.000304331486965475
"cov[1,1,4]",0.000158323842995475
"cov[1,1,5]",0.000725891211516465
"cov[1,1,6]",0.000517985805950895
"cov[1,1,7]",0.000730205253357371
"cov[1,1,8]",0.00100553801768537
"cov[1,1,9]",0.000751110769189531
"cov[1,2,10]",3.1699834521027e-05
"cov[1,2,1]",0.000261838863208713
"cov[1,2,2]",0.000277245443722163
"cov[1,2,3]",4.01548930803483e-05
"cov[1,2,4]",6.98293752744416e-05
"cov[1,2,5]",2.77831203796405e-05
"cov[1,2,6]",2.38347624336451e-05
"cov[1,2,7]",3.43469656140287e-05
"cov[1,2,8]",0.000221224313739293
"cov[1,2,9]",2.37879337712175e-05
"cov[2,1,10]",3.1699834521027e-05
"cov[2,1,1]",0.000261838863208713
"cov[2,1,2]",0.000277245443722163
"cov[2,1,3]",4.01548930803483e-05
"cov[2,1,4]",6.98293752744416e-05
"cov[2,1,5]",2.77831203796405e-05
"cov[2,1,6]",2.38347624336451e-05
"cov[2,1,7]",3.43469656140287e-05
"cov[2,1,8]",0.000221224313739293
"cov[2,1,9]",2.37879337712175e-05
"cov[2,2,10]",3.95786976576251e-05
"cov[2,2,1]",0.000310824655518086
"cov[2,2,2]",0.000276585745971106
"cov[2,2,3]",0.000136822121426617
"cov[2,2,4]",6.72067090764302e-05
"cov[2,2,5]",0.000270556814555602
"cov[2,2,6]",0.000187231087983876
"cov[2,2,7]",0.000280976393340394
"cov[2,2,8]",0.000389059139260839
"cov[2,2,9]",0.000260750651718802
"muOfGaussian[1,1]",40.7788568782936
"muOfGaussian[1,2]",-73.9723834229349
"muOfGaussian[10,1]",40.773853146878
"muOfGaussian[10,2]",-73.9683043093996
"muOfGaussian[2,1]",40.7635079727354
"muOfGaussian[2,2]",-73.9707772482586
"muOfGaussian[3,1]",40.7506972398629
"muOfGaussian[3,2]",-73.9759088821478
"muOfGaussian[4,1]",40.7712558641851
"muOfGaussian[4,2]",-73.9675896815073
"muOfGaussian[5,1]",40.7839527544619
"muOfGaussian[5,2]",-73.957420566046
"muOfGaussian[6,1]",40.7723802705219
"muOfGaussian[6,2]",-73.9684111066677
"muOfGaussian[7,1]",40.7757141545544
"muOfGaussian[7,2]",-73.9662332444893
"muOfGaussian[8,1]",40.7805446690624
"muOfGaussian[8,2]",-73.9645342879745
"muOfGaussian[9,1]",40.7815830203828
"muOfGaussian[9,2]",-73.9617861130738
"pk[10]",0.117618270287282
"pk[1]",0.147373943198353
"pk[2]",0.160949581133072
"pk[3]",0.144078201820575
"pk[4]",0.144550008175288
"pk[5]",0.0306214215027966
"pk[6]",0.0670779791876163
"pk[7]",0.0687832379148162
"pk[8]",0.0840977103274411
"pk[9]",0.0348496464527604
