"","x"
"corr[1]",0.509215134115053
"corr[2]",0.595224370854886
"corr[3]",0.415820985035393
"corr[4]",0.487031840615894
"corr[5]",0.202394506181637
"corr[6]",0.445159426280037
"corr[7]",0.506702854259642
"cov[1,1,1]",0.000103657369012062
"cov[1,1,2]",0.000713057819623931
"cov[1,1,3]",0.000174871385530639
"cov[1,1,4]",0.00012032467578236
"cov[1,1,5]",0.000442339219579827
"cov[1,1,6]",0.00016792817230796
"cov[1,1,7]",0.000362633928812768
"cov[1,2,1]",4.95028771807944e-05
"cov[1,2,2]",0.000290200082839285
"cov[1,2,3]",6.88433587970485e-05
"cov[1,2,4]",5.20423040682442e-05
"cov[1,2,5]",5.82900061483588e-05
"cov[1,2,6]",6.31651812457686e-05
"cov[1,2,7]",7.90400387888408e-05
"cov[2,1,1]",4.95028771807944e-05
"cov[2,1,2]",0.000290200082839285
"cov[2,1,3]",6.88433587970485e-05
"cov[2,1,4]",5.20423040682442e-05
"cov[2,1,5]",5.82900061483588e-05
"cov[2,1,6]",6.31651812457686e-05
"cov[2,1,7]",7.90400387888408e-05
"cov[2,2,1]",5.73518501154425e-05
"cov[2,2,2]",0.000277459271883991
"cov[2,2,3]",8.08969264270555e-05
"cov[2,2,4]",5.86614247208196e-05
"cov[2,2,5]",0.000161834075626364
"cov[2,2,6]",5.75025259680006e-05
"cov[2,2,7]",0.000143637967253536
"muOfGaussian[1,1]",40.7710865497626
"muOfGaussian[1,2]",-73.9653901001233
"muOfGaussian[2,1]",40.7708961656416
"muOfGaussian[2,2]",-73.978605066097
"muOfGaussian[3,1]",40.760660602133
"muOfGaussian[3,2]",-73.9777812232555
"muOfGaussian[4,1]",40.8040741763487
"muOfGaussian[4,2]",-73.9464926399135
"muOfGaussian[5,1]",40.7924707026165
"muOfGaussian[5,2]",-73.9562508182241
"muOfGaussian[6,1]",40.7652238504544
"muOfGaussian[6,2]",-73.9777027414759
"muOfGaussian[7,1]",40.7978486797236
"muOfGaussian[7,2]",-73.9576409703333
"pk[1]",0.153020733521195
"pk[2]",0.169499141436839
"pk[3]",0.160144202914956
"pk[4]",0.148305719735712
"pk[5]",0.1093513200375
"pk[6]",0.161856776479093
"pk[7]",0.0978221058747053
