"","x"
"corr[1]",0.464340031408351
"corr[2]",0.476577563801956
"corr[3]",0.256915593613442
"corr[4]",0.361130334103138
"corr[5]",0.146814268504852
"corr[6]",0.297993580821137
"corr[7]",0.719514350878396
"corr[8]",0.23752689332191
"corr[9]",0.364970947018915
"cov[1,1,1]",0.000385122225513954
"cov[1,1,2]",0.000396967312122321
"cov[1,1,3]",0.000312167766087283
"cov[1,1,4]",0.000349052148585183
"cov[1,1,5]",0.000517869939422663
"cov[1,1,6]",0.000335917405731105
"cov[1,1,7]",0.00073051077263829
"cov[1,1,8]",0.000539981473132751
"cov[1,1,9]",0.00056829264438384
"cov[1,2,1]",7.23843861760324e-05
"cov[1,2,2]",8.63803393695302e-05
"cov[1,2,3]",2.42998053991958e-05
"cov[1,2,4]",5.65700256172254e-05
"cov[1,2,5]",1.00115584518308e-05
"cov[1,2,6]",3.1014014112616e-05
"cov[1,2,7]",0.000323336142322094
"cov[1,2,8]",2.49636905009509e-05
"cov[1,2,9]",0.000215192677809368
"cov[2,1,1]",7.23843861760324e-05
"cov[2,1,2]",8.63803393695302e-05
"cov[2,1,3]",2.42998053991958e-05
"cov[2,1,4]",5.65700256172254e-05
"cov[2,1,5]",1.00115584518308e-05
"cov[2,1,6]",3.1014014112616e-05
"cov[2,1,7]",0.000323336142322094
"cov[2,1,8]",2.49636905009509e-05
"cov[2,1,9]",0.000215192677809368
"cov[2,2,1]",0.000152330109589649
"cov[2,2,2]",0.000184575129853845
"cov[2,2,3]",0.000113353088102906
"cov[2,2,4]",0.000140940132431811
"cov[2,2,5]",0.000183166940099459
"cov[2,2,6]",0.000126576164887145
"cov[2,2,7]",0.000298983387250366
"cov[2,2,8]",0.000185758749927788
"cov[2,2,9]",0.000250190977284839
"muOfGaussian[1,1]",40.780404197153
"muOfGaussian[1,2]",-73.9627688065089
"muOfGaussian[2,1]",40.7793349872682
"muOfGaussian[2,2]",-73.9633837229308
"muOfGaussian[3,1]",40.7496442183438
"muOfGaussian[3,2]",-73.9802234383278
"muOfGaussian[4,1]",40.7662533804391
"muOfGaussian[4,2]",-73.9715129191923
"muOfGaussian[5,1]",40.7784809439087
"muOfGaussian[5,2]",-73.9700243596943
"muOfGaussian[6,1]",40.7699369385587
"muOfGaussian[6,2]",-73.9639890272407
"muOfGaussian[7,1]",40.7883187417542
"muOfGaussian[7,2]",-73.9718519160954
"muOfGaussian[8,1]",40.8054900848658
"muOfGaussian[8,2]",-73.9520579843571
"muOfGaussian[9,1]",40.7750505295601
"muOfGaussian[9,2]",-73.967588275179
"pk[1]",0.0892414124695776
"pk[2]",0.0973525717352184
"pk[3]",0.0919218858882932
"pk[4]",0.118473524079668
"pk[5]",0.0753312477779605
"pk[6]",0.151665479465482
"pk[7]",0.181115681618694
"pk[8]",0.0524827764049378
"pk[9]",0.142415420560168
